Hired and Canceled (do not contact),Current Partner (do not contact)
Adam Corrola,Alpha Warrior
ALCJ - Jay Sekulow,America First News
Bearing Bear,Babylon Bee
Bill Mitchell,Badlands Media - Patel Patriot
Biz Pac Review,Ben Stein
Chris Eryx_BabyTrump,Brad Barton
Chad Prather,Cancer Secrets
Dilley Show,Candace Owens
Don Trump Jr,Charlie Ward
Drew Berquist,Chuck Norris
Drew Hernandez,Dan Ball
Dustin Nemos,Dan Radiostyle
Edge of Wonder,Dr Jockers
Fresh and Fit,Dr. Phil
Gavin McInnes,Freedom from the Press
Ickonic Enterprises_David Icke,Goldbusters
Investigate Earth Podcast_Chad Freeman,Jimmie Schwinn
"James ""JD"" Rucker","John Solomon, Just the News"
James Royster,Jovan Hutton Pulitzer
Jeffery Wilson,Justin Barclay
Jesse Lee Peterson,Lauran Ingraham
Jewels & Catturd,MakingWeb
Jimmy Corsetti,Michael Savage
John Burk,Mike Lindell
Kerry Cassidy,Nesara Shop
Kyle Becker,Nicolas Vienamin
Laura Loomer,Nyla 3D
Liberty Doll,Patriot Underground
Lobo Sound_Revenge of the Cis,Phil Godlewski
Luke Rudkowski,Red Voice Media
Matt Couch,Resist the Mainstream
Matt Kohrs,Richie from Boston
MG Show,Rogan O'Handley (DC Draino)
Michael Malice,Roseanne Barr
Mikhaila Peterson,Salty Cracker
Minds.com,Santa Surfing
Monica Matthews,Sara Carter
Nick Moseder,Sean Hannity
Patrick Miletich,Sharri Raye
Paul Watson,Shawn Ryan
Pedram Shojai,Simon Parkes
Penny Hoarder,Steve Turley
People's Pundit,Stew Peters
Red Elephants,Styxhexenhammer666
Redacted,Truth About Cancer
Return of the Cis,VNN - Maria Zeee; Elijah Schaffer
Robert Gouveia,Zach Rector
Russell Brand,Dr. Stella Immanuel
Salty Cracker,Melissa Tate
The People's Voice,Blaire White
The Podcast of Lotus Eaters,
The Quartering,
The Resistance 1776,
The Vigilant Fox,
Wayne Dupree,
We Are Change,
Wendy Bell,
Dr. Jane Ruby,
Will Johnson,
Good Fight Ministry,
Anna Khait,
